id,humedad_ambiente,humedad_tierra,temperatura,hora,estado_valvula
1962,10.5,66.0,40.0,2025-02-28 14:58:58,0
1961,9.9,65.0,41.1,2025-02-28 14:38:57,0
1960,10.8,65.0,38.8,2025-02-28 14:18:56,0
1959,11.2,66.0,39.2,2025-02-28 13:58:55,0
1958,11.8,65.0,38.3,2025-02-28 13:38:55,0
1957,13.7,66.0,36.8,2025-02-28 13:18:55,0
1956,13.6,65.0,36.3,2025-02-28 12:58:54,0
1955,12.7,65.0,39.2,2025-02-28 12:38:53,0
1954,14.3,64.0,37.7,2025-02-28 12:18:53,0
1953,14.1,65.0,40.3,2025-02-28 11:58:53,0
1952,15.1,66.0,39.8,2025-02-28 11:38:52,0
1951,15.0,67.0,38.7,2025-02-28 11:18:51,0
1950,15.6,0.0,38.5,2025-02-28 10:58:51,1
1949,17.5,28.0,36.0,2025-02-28 10:38:50,1
1948,17.2,28.0,38.4,2025-02-28 10:18:49,1
1947,16.9,28.0,40.1,2025-02-28 09:58:49,1
1946,18.3,31.0,38.1,2025-02-28 09:38:49,0
1945,20.6,29.0,37.2,2025-02-28 09:18:48,1
1944,21.2,29.0,34.1,2025-02-28 08:58:46,1
1943,25.9,32.0,29.4,2025-02-28 08:38:47,0
1942,57.0,38.0,13.4,2025-02-28 08:18:46,0
1941,64.2,40.0,10.2,2025-02-28 07:58:46,0
1940,72.1,40.0,7.2,2025-02-28 07:38:46,0
1939,73.7,41.0,6.9,2025-02-28 07:18:45,0
1938,73.0,43.0,7.1,2025-02-28 06:58:45,0
1937,66.2,48.0,7.7,2025-02-28 06:38:44,0
1936,65.9,49.0,8.1,2025-02-28 06:18:43,0
1935,63.1,51.0,9.3,2025-02-28 05:58:42,0
1934,69.0,54.0,8.5,2025-02-28 05:38:42,0
1933,60.4,53.0,8.6,2025-02-28 05:18:41,0
1932,59.6,55.0,9.3,2025-02-28 04:58:40,0
1931,60.7,57.0,10.5,2025-02-28 04:38:40,0
1930,66.4,57.0,10.4,2025-02-28 04:18:39,0
1929,54.0,58.0,8.6,2025-02-28 03:58:39,0
1928,47.5,62.0,8.8,2025-02-28 03:38:39,0
